Entity_Type	EntityID	Wikidata_Property_ID_and_label	SINGLE/MULTI	sentence_template1	sentence_template2
country	Q6256	P30~continent	SINGLE	$A$ is a country in the continent of $B$.	$A$ is located in the continent of $B$.
country	Q6256	P36~capital	SINGLE	$A$ has its capital at $B$.	$A$ has its capital city as $B$.
city	Q515	P17~country	SINGLE	$A$ is a city located in $B$.	$A$ is situated in $B$.
sea	Q165	P205~basin country	SINGLE	$A$ receives water from rivers of $B$.	The $A$ is bounded by $B$.
sea	Q165	P205~basin country	MULTI	$A$ receives water from rivers of countries such as $B_MULTI$.	The $A$ is bounded by countries such as $B_MULTI$.
river	Q4022	P205~basin country	SINGLE	The $A$ river flows through $B$.	The $A$ river runs through $B$.
river	Q4022	P205~basin country	MULTI	The $A$ river flows through countries such as $B_MULTI$.	The $A$ river runs through countries such as $B_MULTI$.
dam	Q12323	P17~country	SINGLE	The $A$ dam is located in $B$.	The $A$ dam is situated in $B$.
dam	Q12323	P206~located in or next to body of water	SINGLE	The $A$ dam is located on the $B$.	The $A$ dam bounds the flow of the $B$.
mountain range	Q46831	P17~country	SINGLE	The $A$ mountain range is located in $B$.	The $A$ mountain range runs through $B$.
mountain range	Q46831	P17~country	MULTI	The $A$ mountain range passes through countries such as $B_MULTI$.	The $A$ mountain range runs through various countries such as $B_MULTI$.
mountain range	Q46831	P610~highest point	SINGLE	The highest point of the $A$ mountain range is $B$.	The $A$ mountain range has its highest point as $B$.
forest	Q4421	P17~country	SINGLE	The $A$ forest is located in $B$.	The $A$ forest is situated in $B$.
forest	Q4421	P17~country	MULTI	The $A$ forest is spread over countries such as $B_MULTI$.	The $A$ forest expands to countries such as $B_MULTI$.
desert	Q8514	P30~continent	SINGLE	The $A$ desert is in the continent of $B$.	The $A$ desert is located in the continent of $B$.
desert	Q8514	P17~country	MULTI	The $A$ desert is spread over countries such as $B_MULTI$.	The $A$ desert expands to countries such as $B_MULTI$.
waterfall	Q34038	P17~country	MULTI	The $A$ waterfall is located in countries namely $B_MULTI$.	The $A$ waterfall is situated in countries namely $B_MULTI$.
waterfall	Q34038	P17~country	SINGLE	The $A$ waterfall is located in $B$.	The $A$ waterfall is situated in $B$.
canyon	Q150784	P17~country	MULTI	The $A$ canyon is spread over countries such as $B_MULTI$.	The $A$ canyon is expands to countries such as $B_MULTI$.
canyon	Q150784	P17~country	SINGLE	The $A$ canyon is located in $B$.	The $A$ canyon is situated in $B$.
canyon	Q150784	P206~located in or next to body of water	MULTI	The $A$ canyon is created by water bodies namely $B_MULTI$.	The $A$ canyon is carved by water bodies namely $B_MULTI$.
canyon	Q150784	P206~located in or next to body of water	SINGLE	The $A$ canyon is created by the $B$ river.	The $A$ canyon is carved by the $B$ river.

power plant	Q159719	P17~country	SINGLE	The $A$ supplies electricity to states in $B$.	The $A$ is located in $B$.
nature reserve	Q179049	P17~country	MULTI	The $A$ is spread over countries such as $B_MULTI$.	The $A$ is expands to countries such as $B_MULTI$.
nature reserve	Q179049	P17~country	SINGLE	The $A$ is located in $B$.	The $A$ is situated in $B$.
amusement park	Q194195	P17~country	SINGLE	The $A$ amusement park is located in $B$.	The $A$ amusement park is situated in $B$.
stadium	Q483110	P17~country	SINGLE	The $A$ stadium is located in $B$.	The $A$ stadium is situated in $B$.
air base	Q695850	P17~country	SINGLE	The $A$ serves the Air Force of $B$.	The $A$ is located in $B$.
mine	Q820477	P17~country	SINGLE	The $A$ mine is located in $B$.	The $A$ mine is situated in $B$.
mine	Q820477	P17~country	MULTI	The $A$ mines are spread over countries such as $B_MULTI$.	The $A$ mines are expands to countries such as $B_MULTI$.

naval base	Q1324633	P17~country	SINGLE	The $A$ serves the Navy of $B$.	The $A$ is located in $B$.
naval base	Q1324633	P206~located in or next to body of water	SINGLE	The $A$ operates in the waters of the $B$.	The $A$ controls the waters of the $B$.
